open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,return
63.07,66.51,66.92,63.07,32020.0,210907504.0,2022,9,27,15,0,2022-09-27 15:00,32020.0,-0.05454257174567948
65.68,64.56,68.2,64.23,36144.0,238275296.0,2022,9,28,15,0,2022-09-28 15:00,36144.0,0.017052375152253416
65.18,63.97,66.25,63.73,27693.0,178900480.0,2022,9,29,15,0,2022-09-29 15:00,27693.0,0.0185639766799633
64.04,62.68,64.5,62.66,21223.0,135133600.0,2022,9,30,15,0,2022-09-30 15:00,21223.0,0.021236727045596603
58.47,57.5,60.1,56.52,43378.0,250357488.0,2022,10,10,15,0,2022-10-10 15:00,43378.0,0.01658970412177183
57.98,56.26,58.18,55.88,24195.0,137580128.0,2022,10,11,15,0,2022-10-11 15:00,24195.0,0.02966540186271126
56.68,59.39,59.75,55.5,33022.0,189891664.0,2022,10,12,15,0,2022-10-12 15:00,33022.0,-0.04781227946365563
58.5,59.31,60.63,58.5,20138.0,120166008.0,2022,10,13,15,0,2022-10-13 15:00,20138.0,-0.013846153846153885
60.0,60.77,61.45,59.68,20657.0,125301664.0,2022,10,14,15,0,2022-10-14 15:00,20657.0,-0.012833333333333386
60.28,61.8,62.59,59.5,20755.0,127901680.0,2022,10,17,15,0,2022-10-17 15:00,20755.0,-0.025215660252156536
62.3,60.51,62.43,60.33,20103.0,122541280.0,2022,10,18,15,0,2022-10-18 15:00,20103.0,0.02873194221508827
60.68,59.11,61.01,59.11,18456.0,110246888.0,2022,10,19,15,0,2022-10-19 15:00,18456.0,0.02587343441001978
58.55,63.93,64.49,58.51,49271.0,307751712.0,2022,10,20,15,0,2022-10-20 15:00,49271.0,-0.09188727583262174
63.5,65.33,66.0,62.12,34866.0,223711600.0,2022,10,21,15,0,2022-10-21 15:00,34866.0,-0.02881889763779525
66.2,64.68,68.18,64.0,29020.0,191219440.0,2022,10,24,15,0,2022-10-24 15:00,29020.0,0.02296072507552864
64.3,64.35,65.6,62.95,24320.0,156110448.0,2022,10,25,15,0,2022-10-25 15:00,24320.0,-0.0007776049766718066
65.0,65.8,66.45,63.0,29016.0,189222304.0,2022,10,26,15,0,2022-10-26 15:00,29016.0,-0.012307692307692264
65.44,67.42,68.68,65.44,41326.0,277278432.0,2022,10,27,15,0,2022-10-27 15:00,41326.0,-0.03025672371638148
66.6,64.82,68.48,64.23,35069.0,232850480.0,2022,10,28,15,0,2022-10-28 15:00,35069.0,0.026726726726726747
64.4,65.76,67.5,64.05,30644.0,203355184.0,2022,10,31,15,0,2022-10-31 15:00,30644.0,-0.02111801242236024
65.77,65.34,65.77,62.64,46690.0,300327552.0,2022,11,1,15,0,2022-11-01 15:00,46690.0,0.006537935228827621
65.34,65.88,67.32,65.05,27940.0,184386896.0,2022,11,2,15,0,2022-11-02 15:00,27940.0,-0.008264462809917232
64.08,67.15,67.73,64.06,28232.0,188471952.0,2022,11,3,15,0,2022-11-03 15:00,28232.0,-0.04790886392009999
66.77,67.69,68.4,66.18,26032.0,175353648.0,2022,11,4,15,0,2022-11-04 15:00,26032.0,-0.013778643103190082
67.64,66.21,68.74,66.18,24754.0,165958640.0,2022,11,7,15,0,2022-11-07 15:00,24754.0,0.02114133648728573
66.18,65.48,66.39,64.71,17614.0,114969184.0,2022,11,8,15,0,2022-11-08 15:00,17614.0,0.010577213659715968
65.91,65.35,66.36,64.48,14536.0,95162928.0,2022,11,9,15,0,2022-11-09 15:00,14536.0,0.008496434531937526
64.8,64.09,67.3,64.04,26718.0,175096944.0,2022,11,10,15,0,2022-11-10 15:00,26718.0,0.010956790123456694
66.0,64.68,67.1,64.55,30276.0,199451104.0,2022,11,11,15,0,2022-11-11 15:00,30276.0,0.019999999999999896
64.65,66.48,67.3,63.81,23261.0,153552688.0,2022,11,14,15,0,2022-11-14 15:00,23261.0,-0.028306264501160062
66.5,69.14,70.0,66.45,36689.0,253105888.0,2022,11,15,15,0,2022-11-15 15:00,36689.0,-0.03969924812030076
68.88,68.5,69.9,68.2,23907.0,164930592.0,2022,11,16,15,0,2022-11-16 15:00,23907.0,0.005516840882694476
68.0,69.45,69.64,67.13,26158.0,179185984.0,2022,11,17,15,0,2022-11-17 15:00,26158.0,-0.021323529411764748
69.99,67.77,70.5,67.77,23472.0,161607888.0,2022,11,18,15,0,2022-11-18 15:00,23472.0,0.03171881697385339
69.01,67.7,70.38,66.66,31072.0,213231488.0,2022,11,21,15,0,2022-11-21 15:00,31072.0,0.01898275612230115
67.42,65.88,68.6,65.79,23732.0,158875840.0,2022,11,22,15,0,2022-11-22 15:00,23732.0,0.022841886680510327
65.9,64.54,66.24,64.2,22074.0,143160880.0,2022,11,23,15,0,2022-11-23 15:00,22074.0,0.020637329286798168
64.95,63.65,65.77,63.55,15971.0,102698560.0,2022,11,24,15,0,2022-11-24 15:00,15971.0,0.020015396458814536
63.48,63.45,64.53,63.12,13228.0,84313112.0,2022,11,25,15,0,2022-11-25 15:00,13228.0,0.0004725897920603975
62.06,62.25,63.45,61.68,15479.0,96477288.0,2022,11,28,15,0,2022-11-28 15:00,15479.0,-0.003061553335481755
62.57,64.19,64.66,62.57,17467.0,111497120.0,2022,11,29,15,0,2022-11-29 15:00,17467.0,-0.025891002077672965
64.17,63.42,64.74,63.21,28951.0,185105632.0,2022,11,30,15,0,2022-11-30 15:00,28951.0,0.01168770453482936
64.6,64.92,65.75,64.01,19846.0,129028848.0,2022,12,1,15,0,2022-12-01 15:00,19846.0,-0.004953560371517143
65.43,66.0,66.17,64.61,17225.0,113257216.0,2022,12,2,15,0,2022-12-02 15:00,17225.0,-0.008711600183402004
66.6,66.49,67.49,65.62,17820.0,118047344.0,2022,12,5,15,0,2022-12-05 15:00,17820.0,0.0016516516516516433
66.5,67.59,68.21,66.0,23226.0,157059216.0,2022,12,6,15,0,2022-12-06 15:00,23226.0,-0.016390977443609074
67.34,67.06,67.78,66.88,13690.0,91998760.0,2022,12,7,15,0,2022-12-07 15:00,13690.0,0.004158004158004175
66.9,65.22,67.06,65.03,18570.0,121898032.0,2022,12,8,15,0,2022-12-08 15:00,18570.0,0.025112107623318485
65.07,65.71,66.66,64.88,23705.0,156102560.0,2022,12,9,15,0,2022-12-09 15:00,23705.0,-0.00983556170278163
65.88,67.11,67.9,65.5,23843.0,159734880.0,2022,12,12,15,0,2022-12-12 15:00,23843.0,-0.01867030965391627
67.16,66.87,67.4,66.36,14251.0,95272664.0,2022,12,13,15,0,2022-12-13 15:00,14251.0,0.004318046456223824
69.99,66.81,70.05,66.81,24875.0,169611008.0,2022,12,14,15,0,2022-12-14 15:00,24875.0,0.04543506215173586
67.0,67.48,68.4,65.71,18621.0,126142344.0,2022,12,15,15,0,2022-12-15 15:00,18621.0,-0.007164179104477671
64.95,63.98,65.4,61.49,47846.0,305005856.0,2022,12,16,15,0,2022-12-16 15:00,47846.0,0.014934565050038583
63.06,60.3,63.46,60.1,37314.0,229085920.0,2022,12,19,15,0,2022-12-19 15:00,37314.0,0.043767840152236046
60.35,59.9,61.35,59.43,18877.0,113827688.0,2022,12,20,15,0,2022-12-20 15:00,18877.0,0.007456503728251911
59.89,58.53,60.34,58.23,17728.0,104847568.0,2022,12,21,15,0,2022-12-21 15:00,17728.0,0.022708298547336775
58.94,57.19,59.4,56.88,17380.0,100559712.0,2022,12,22,15,0,2022-12-22 15:00,17380.0,0.02969121140142518
56.79,56.47,57.5,55.9,17906.0,101300312.0,2022,12,23,15,0,2022-12-23 15:00,17906.0,0.005634794858249697
56.48,57.14,57.75,56.48,18086.0,103667456.0,2022,12,26,15,0,2022-12-26 15:00,18086.0,-0.011685552407932077
57.0,57.17,57.49,56.31,16728.0,95088536.0,2022,12,27,15,0,2022-12-27 15:00,16728.0,-0.002982456140350907
57.0,55.88,57.17,55.68,13212.0,74184648.0,2022,12,28,15,0,2022-12-28 15:00,13212.0,0.0196491228070175
55.9,55.6,56.47,55.6,13194.0,73836856.0,2022,12,29,15,0,2022-12-29 15:00,13194.0,0.005366726296958804
56.37,54.56,56.37,54.5,20872.0,115094936.0,2022,12,30,15,0,2022-12-30 15:00,20872.0,0.03210927798474358
54.51,56.78,57.34,54.15,20491.0,114950544.0,2023,1,3,15,0,2023-01-03 15:00,20491.0,-0.041643735094478135
57.23,56.94,58.08,56.33,15567.0,88769208.0,2023,1,4,15,0,2023-01-04 15:00,15567.0,0.0050672724095753826
56.88,56.8,57.22,55.8,16150.0,91448608.0,2023,1,5,15,0,2023-01-05 15:00,16150.0,0.0014064697609002354
56.98,56.65,57.54,56.02,17081.0,97090920.0,2023,1,6,15,0,2023-01-06 15:00,17081.0,0.005791505791505762
56.83,56.89,57.6,56.6,14166.0,80789056.0,2023,1,9,15,0,2023-01-09 15:00,14166.0,-0.0010557803976773232
56.89,57.14,58.16,56.89,19147.0,109909936.0,2023,1,10,15,0,2023-01-10 15:00,19147.0,-0.004394445420987872
57.17,56.37,58.0,56.25,16726.0,95478632.0,2023,1,11,15,0,2023-01-11 15:00,16726.0,0.01399335315725038
56.19,55.73,56.68,55.3,18233.0,101906328.0,2023,1,12,15,0,2023-01-12 15:00,18233.0,0.008186510055169974
56.26,56.09,56.26,55.51,11980.0,67067292.0,2023,1,13,15,0,2023-01-13 15:00,11980.0,0.0030216850337716782
55.99,57.79,58.5,55.83,27547.0,158869664.0,2023,1,16,15,0,2023-01-16 15:00,27547.0,-0.032148597963922075
57.99,58.05,59.42,57.52,20689.0,121012992.0,2023,1,17,15,0,2023-01-17 15:00,20689.0,-0.0010346611484737915
58.55,58.5,59.17,58.04,16386.0,96114528.0,2023,1,18,15,0,2023-01-18 15:00,16386.0,0.000853970964987142
58.1,61.0,61.0,58.07,28934.0,173912816.0,2023,1,19,15,0,2023-01-19 15:00,28934.0,-0.04991394148020652
61.02,61.03,61.63,60.51,18461.0,112711728.0,2023,1,20,15,0,2023-01-20 15:00,18461.0,-0.00016388069485411357
65.5,64.31,65.98,63.56,50901.0,329053152.0,2023,1,30,15,0,2023-01-30 15:00,50901.0,0.018167938931297676
