open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
208.16,211.4,218.3,204.11,112522.0,2408664576.0,2023,5,9,15,0,2023-05-09 15:00,112522.0
206.03,199.08,212.93,191.41,138080.0,2759834624.0,2023,5,10,15,0,2023-05-10 15:00,138080.0
201.62,196.02,205.6,196.0,82152.0,1636411136.0,2023,5,11,15,0,2023-05-11 15:00,82152.0
195.97,196.0,204.5,192.11,75027.0,1489746432.0,2023,5,12,15,0,2023-05-12 15:00,75027.0
200.0,188.45,201.58,177.0,177145.0,3293823488.0,2023,5,15,15,0,2023-05-15 15:00,177145.0
191.08,184.51,193.0,183.33,102618.0,1929752064.0,2023,5,16,15,0,2023-05-16 15:00,102618.0
184.0,187.54,192.66,183.82,80121.0,1509135872.0,2023,5,17,15,0,2023-05-17 15:00,80121.0
192.22,196.81,204.5,188.0,163933.0,3230820608.0,2023,5,18,15,0,2023-05-18 15:00,163933.0
205.9,195.3,213.8,193.92,138467.0,2838526208.0,2023,5,19,15,0,2023-05-19 15:00,138467.0
189.14,188.65,201.89,186.0,94895.0,1826715904.0,2023,5,22,15,0,2023-05-22 15:00,94895.0
187.84,184.11,190.98,183.36,82686.0,1541882752.0,2023,5,23,15,0,2023-05-23 15:00,82686.0
183.92,182.0,188.55,175.05,104854.0,1900145792.0,2023,5,24,15,0,2023-05-24 15:00,104854.0
195.0,194.5,203.0,184.17,160828.0,3099925760.0,2023,5,25,15,0,2023-05-25 15:00,160828.0
194.0,224.0,233.4,193.03,193492.0,4155578880.0,2023,5,26,15,0,2023-05-26 15:00,193492.0
225.99,219.6,232.58,218.4,150876.0,3388178688.0,2023,5,29,15,0,2023-05-29 15:00,150876.0
218.08,234.8,239.8,214.11,121654.0,2757265152.0,2023,5,30,15,0,2023-05-30 15:00,121654.0
233.45,254.19,254.19,227.0,145701.0,3460211712.0,2023,5,31,15,0,2023-05-31 15:00,145701.0
248.0,237.01,259.24,237.0,121859.0,3007753216.0,2023,6,1,15,0,2023-06-01 15:00,121859.0
241.0,228.7,244.58,224.84,118295.0,2732752128.0,2023,6,2,15,0,2023-06-02 15:00,118295.0
227.7,230.32,235.24,225.0,89765.0,2066278400.0,2023,6,5,15,0,2023-06-05 15:00,89765.0
227.0,223.25,232.18,219.0,91595.0,2059426432.0,2023,6,6,15,0,2023-06-06 15:00,91595.0
221.09,221.2,226.53,217.12,71106.0,1572973440.0,2023,6,7,15,0,2023-06-07 15:00,71106.0
218.0,221.01,223.65,213.01,71395.0,1562324224.0,2023,6,8,15,0,2023-06-08 15:00,71395.0
221.01,226.78,228.65,209.0,142428.0,3102521856.0,2023,6,9,15,0,2023-06-09 15:00,142428.0
224.56,220.21,234.56,219.0,113730.0,2574783744.0,2023,6,12,15,0,2023-06-12 15:00,113730.0
219.48,232.9,235.99,213.1,127299.0,2884886528.0,2023,6,13,15,0,2023-06-13 15:00,127299.0
229.6,224.8,231.88,218.86,122667.0,2747666944.0,2023,6,14,15,0,2023-06-14 15:00,122667.0
227.5,211.0,230.89,211.0,120101.0,2626054912.0,2023,6,15,15,0,2023-06-15 15:00,120101.0
206.9,222.85,222.88,202.63,136474.0,2923130368.0,2023,6,16,15,0,2023-06-16 15:00,136474.0
227.0,239.1,242.68,224.01,169707.0,3991358464.0,2023,6,19,15,0,2023-06-19 15:00,169707.0
244.0,267.0,269.5,231.1,204306.0,5061736448.0,2023,6,20,15,0,2023-06-20 15:00,204306.0
256.69,230.98,257.0,230.0,152779.0,3726921472.0,2023,6,21,15,0,2023-06-21 15:00,152779.0
221.0,202.5,224.54,200.24,151023.0,3169393920.0,2023,6,26,15,0,2023-06-26 15:00,151023.0
198.0,196.69,202.65,195.0,79540.0,1575126144.0,2023,6,27,15,0,2023-06-27 15:00,79540.0
209.99,202.95,215.0,198.5,162204.0,3352777728.0,2023,6,28,15,0,2023-06-28 15:00,162204.0
202.0,193.0,204.77,183.3,144866.0,2784893184.0,2023,6,29,15,0,2023-06-29 15:00,144866.0
189.94,188.0,193.0,183.02,109527.0,2049782272.0,2023,6,30,15,0,2023-06-30 15:00,109527.0
187.02,192.54,199.0,181.0,114307.0,2160024832.0,2023,7,3,15,0,2023-07-03 15:00,114307.0
190.0,202.41,205.2,187.28,118368.0,2349023744.0,2023,7,4,15,0,2023-07-04 15:00,118368.0
199.49,200.8,206.74,196.51,74936.0,1511239808.0,2023,7,5,15,0,2023-07-05 15:00,74936.0
198.22,206.82,217.8,198.22,109094.0,2293471488.0,2023,7,6,15,0,2023-07-06 15:00,109094.0
206.82,195.43,209.6,187.87,93416.0,1833783040.0,2023,7,7,15,0,2023-07-07 15:00,93416.0
195.43,196.96,205.0,194.11,67465.0,1343084160.0,2023,7,10,15,0,2023-07-10 15:00,67465.0
197.62,210.3,218.0,195.35,115003.0,2411368704.0,2023,7,11,15,0,2023-07-11 15:00,115003.0
212.01,196.29,214.5,195.59,93959.0,1917407616.0,2023,7,12,15,0,2023-07-12 15:00,93959.0
199.9,200.1,204.48,192.18,96861.0,1924027776.0,2023,7,13,15,0,2023-07-13 15:00,96861.0
205.1,206.01,213.6,201.91,98343.0,2040119936.0,2023,7,14,15,0,2023-07-14 15:00,98343.0
199.0,200.2,210.55,193.86,80898.0,1623913216.0,2023,7,17,15,0,2023-07-17 15:00,80898.0
196.95,185.0,198.93,183.01,126504.0,2388990208.0,2023,7,18,15,0,2023-07-18 15:00,126504.0
185.0,182.37,189.99,182.3,66188.0,1230412416.0,2023,7,19,15,0,2023-07-19 15:00,66188.0
184.0,176.0,184.0,175.33,86671.0,1552013568.0,2023,7,20,15,0,2023-07-20 15:00,86671.0
172.76,170.9,176.13,167.26,98576.0,1686290432.0,2023,7,21,15,0,2023-07-21 15:00,98576.0
167.5,167.16,175.0,166.51,87741.0,1490250112.0,2023,7,24,15,0,2023-07-24 15:00,87741.0
169.0,167.0,172.25,164.0,90631.0,1520900480.0,2023,7,25,15,0,2023-07-25 15:00,90631.0
171.42,169.42,175.75,167.0,104380.0,1787902848.0,2023,7,26,15,0,2023-07-26 15:00,104380.0
167.0,165.14,168.51,163.41,64579.0,1069843584.0,2023,7,27,15,0,2023-07-27 15:00,64579.0
162.0,160.8,163.35,157.5,93064.0,1493469440.0,2023,7,28,15,0,2023-07-28 15:00,93064.0
159.54,164.01,166.99,156.41,77526.0,1270279552.0,2023,7,31,15,0,2023-07-31 15:00,77526.0
164.02,164.77,166.49,159.0,67097.0,1094123520.0,2023,8,1,15,0,2023-08-01 15:00,67097.0
164.0,166.9,169.58,163.01,69177.0,1151269888.0,2023,8,2,15,0,2023-08-02 15:00,69177.0
163.5,168.21,171.26,161.6,67918.0,1141072256.0,2023,8,3,15,0,2023-08-03 15:00,67918.0
168.22,172.86,173.57,166.9,76789.0,1313793536.0,2023,8,4,15,0,2023-08-04 15:00,76789.0
173.47,169.75,177.62,168.97,67721.0,1168427392.0,2023,8,7,15,0,2023-08-07 15:00,67721.0
169.54,169.15,172.33,168.4,40972.0,697075584.0,2023,8,8,15,0,2023-08-08 15:00,40972.0
167.39,165.12,169.8,165.12,47906.0,797950272.0,2023,8,9,15,0,2023-08-09 15:00,47906.0
164.44,164.0,166.39,163.02,34501.0,567667712.0,2023,8,10,15,0,2023-08-10 15:00,34501.0
164.8,158.0,166.0,158.0,46343.0,749031040.0,2023,8,11,15,0,2023-08-11 15:00,46343.0
156.86,159.4,159.59,154.9,54589.0,858071552.0,2023,8,14,15,0,2023-08-14 15:00,54589.0
161.52,158.57,164.74,158.25,41583.0,669112832.0,2023,8,15,15,0,2023-08-15 15:00,41583.0
157.01,152.8,158.5,152.3,49949.0,771610240.0,2023,8,16,15,0,2023-08-16 15:00,49949.0
151.95,156.94,161.3,151.55,66839.0,1055626944.0,2023,8,17,15,0,2023-08-17 15:00,66839.0
159.75,151.4,162.0,151.4,49650.0,768025216.0,2023,8,18,15,0,2023-08-18 15:00,49650.0
149.22,151.4,156.36,149.22,39794.0,609719104.0,2023,8,21,15,0,2023-08-21 15:00,39794.0
155.8,157.61,158.5,151.17,54283.0,840207872.0,2023,8,22,15,0,2023-08-22 15:00,54283.0
155.82,150.14,156.0,149.01,48611.0,732871360.0,2023,8,23,15,0,2023-08-23 15:00,48611.0
153.88,150.3,156.49,150.0,53143.0,813653952.0,2023,8,24,15,0,2023-08-24 15:00,53143.0
145.77,140.52,146.3,139.23,76153.0,1080616320.0,2023,8,25,15,0,2023-08-25 15:00,76153.0
154.0,145.1,154.0,142.91,69128.0,1011498816.0,2023,8,28,15,0,2023-08-28 15:00,69128.0
145.31,145.96,149.2,142.0,79729.0,1160084096.0,2023,8,29,15,0,2023-08-29 15:00,79729.0
148.0,159.86,162.0,147.99,138046.0,2156188160.0,2023,8,30,15,0,2023-08-30 15:00,138046.0
154.0,158.8,163.19,152.7,116574.0,1832641408.0,2023,8,31,15,0,2023-08-31 15:00,116574.0
159.5,148.83,160.5,145.0,104652.0,1581215488.0,2023,9,1,15,0,2023-09-01 15:00,104652.0
148.73,148.88,148.88,143.0,72064.0,1052481984.0,2023,9,4,15,0,2023-09-04 15:00,72064.0
150.9,144.5,153.0,143.43,87145.0,1291178240.0,2023,9,5,15,0,2023-09-05 15:00,87145.0
142.84,152.95,153.74,141.0,114442.0,1697748096.0,2023,9,6,15,0,2023-09-06 15:00,114442.0
